id,name,technology_category_id,active
1,"Solar - Passive",1,1
2,"Solar Water Heat",1,1
3,"Solar Space Heat",1,1
4,"Geothermal Electric",2,1
5,"Solar Thermal Electric",1,1
6,"Solar Thermal Process Heat",1,1
7,"Solar Photovoltaics",1,1
8,"Wind (All)",3,1
9,Biomass,4,1
10,Hydroelectric,5,1
11,Hydrogen,6,1
12,"Geothermal Heat Pumps",2,1
13,"Municipal Solid Waste",7,1
14,"Combined Heat & Power",4,1
15,"Fuel Cells using Non-Renewable Fuels",6,1
16,"Renewable Fuel Vehicles",7,0
17,"Renewable Fuels",7,0
18,"Landfill Gas",4,1
19,Tidal,8,1
20,Wave,8,1
21,"Ocean Thermal",8,1
22,"Refueling Stations",7,0
23,Daylighting,1,1
24,"Solar Pool Heating",1,1
73,"Clothes Washers",9,1
74,Dishwasher,9,1
75,Refrigerators/Freezers,9,1
76,Dehumidifiers,9,1
77,"Ceiling Fan",9,1
78,"Equipment Insulation",10,1
79,"Water Heaters",9,1
80,Lighting,11,1
81,"Lighting Controls/Sensors",11,1
82,Chillers,10,1
83,Furnaces,10,1
84,Boilers,10,1
85,"Heat pumps",10,1
86,"Air conditioners",10,1
87,"Combined Heat & Power",12,1
88,"Heat recovery",12,1
89,"Steam-system upgrades",12,1
90,"Compressed air",12,1
91,"Programmable Thermostats",10,1
92,"Energy Mgmt. Systems/Building Controls",13,1
93,Caulking/Weather-stripping,14,1
94,"Duct/Air sealing",10,1
95,"Building Insulation",14,1
96,Windows,14,1
97,Doors,14,1
98,Siding,14,1
99,Roofs,14,1
100,Motors,12,1
101,"Motor VFDs",12,1
107,"Processing and Manufacturing Equipment",12,1
108,"Agricultural Equipment",13,1
109,"Comprehensive Measures/Whole Building",13,1
110,"Custom/Others pending approval",13,1
111,"Other EE",13,1
112,"Renewable Energy",13,0
113,"Yes; specific technologies not identified",13,1
114,Insulation,14,1
117,"Wind (Small)",3,1
118,"Hydroelectric (Small)",5,1
119,"Geothermal Direct-Use",2,1
120,"Food Service Equipment",13,1
121,"Anaerobic Digestion",4,1
122,"Renewable Fuel Vehicles",7,0
123,"Renewable Fuels",7,0
124,"Fuel Cells using Renewable Fuels",6,1
125,"Other Distributed Generation Technologies",7,1
126,"Vending Machine Controls",13,1
127,"Commercial Cooking Equipment",13,1
128,"Personal Computing Equipment",13,1
129,"Data Center Equipment",13,1
134,Microturbines,7,1
135,"Reflective Roofs",14,1
136,"Pool Pumps",13,1
137,"LED Lighting",11,1
138,"Tankless Water Heater",9,1
139,"Commercial Refrigeration Equipment",13,1
140,Microturbines,12,1
200,"Industrial Systems General",12,1
201,"Industrial System / Process Specific",12,1
203,"Building Systems",12,1
204,HVAC,12,1
205,"Load Management",12,1
206,"Energy Sources",12,1
207,Lithium-ion,15,1
